,Rank,Company,CEO,Female,NameNoSpaces,FullName
0,1,Walmart,Doug McMillon,0,DougMcMillon,Doug McMillon
1,2,Exxon Mobil,Darren Woods,0,DarrenWoods,Darren W. Woods
2,3,Berkshire Hathaway,Warren Buffett,0,WarrenBuffett,Warren Buffett
3,4,Apple,Tim Cook,0,TimCook,Tim Cook
4,5,UnitedHealth Group,David Wichmann,0,DavidWichmann,David S. Wichmann
5,6,McKesson,John Hammergren,0,JohnHammergren,John H. Hammergren
6,7,CVS Health,Larry Merlo,0,LarryMerlo,Larry J. Merlo
7,8,Amazon.com,Jeff Bezos,0,JeffBezos,Jeff Bezos
8,9,AT&T,Randall Stephenson,0,RandallStephenson,Randall L. Stephenson
9,10,General Motors,Mary Barra,1,MaryBarra,Mary T. Barra
10,11,Ford Motor,James Hackett,0,JamesHackett,James P. Hackett
11,12,AmerisourceBergen,Steven Collis,0,StevenCollis,Steven H. Collis
12,13,Chevron,Mike Wirth,0,MikeWirth,Mike Wirth
13,14,Cardinal Health,Michael Kaufmann,0,MichaelKaufmann,Michael C. Kaufmann
14,15,Costco,Craig Jelinek,0,CraigJelinek,W. Craig Jelinek
15,16,Verizon,Lowell McAdam,0,LowellMcAdam,Lowell C. McAdam
16,17,Kroger,Rodney McMullen,0,RodneyMcMullen,W. Rodney McMullen
17,18,General Electric,John Flannery ,0,JohnFlannery,John L. Flannery Jr.
18,19,Walgreens Boots Alliance,Stefano Pessina,0,StefanoPessina,Stefano Pessina
19,20,JPMorgan Chase,James Dimon,0,JamesDimon,James Dimon
20,21,Fannie Mae,Timothy Mayopoulos,0,TimothyMayopoulos,Timothy J. Mayopoulos
21,22,Alphabet,Larry Page,0,LarryPage,Larry Page
22,23,Home Depot,Craig Menear,0,CraigMenear,Craig A. Menear
23,24,Bank of America Corp.,Brian Moynihan,0,BrianMoynihan,Brian T. Moynihan
24,25,Express Scripts Holding,Timothy Wentworth,0,TimothyWentworth,Timothy C. Wentworth
25,26,Wells Fargo,Timothy Sloan,0,TimothySloan,Timothy J. Sloan
26,27,Boeing,Dennis Muilenburg,0,DennisMuilenburg,Dennis A. Muilenburg
27,28,Phillips 66,Greg Garland,0,GregGarland,Greg C. Garland
28,29,Anthem,Gail Boudreaux,0,GailBoudreaux,Gail K. Boudreaux
29,30,Microsoft,Satya Nadella,0,SatyaNadella,Satya Nadella
30,31,Valero Energy,Joseph Gorder,0,JosephGorder,Joseph W. Gorder
31,32,Citigroup,Michael Corbat,0,MichaelCorbat,Michael L. Corbat
32,33,Comcast,Brian Roberts,0,BrianRoberts,Brian L. Roberts
33,34,IBM,Ginni Rometty,1,GinniRometty,Ginni Rometty
34,35,Dell Technologies,Michael Dell,0,MichaelDell,Michael S. Dell
35,36,State Farm Insurance Cos.,Michael Tipsord,0,MichaelTipsord,Michael L. Tipsord
36,37,Johnson & Johnson,Alex Gorsky,0,AlexGorsky,Alex Gorsky
37,38,Freddie Mac,Donald Layton,0,DonaldLayton,Donald H. Layton
38,39,Target,Brian Cornell,0,BrianCornell,Brian C. Cornell
39,40,Lowes,Robert Niblock,0,RobertNiblock,Robert A. Niblock
40,41,Marathon Petroleum,Gary Heminger,0,GaryHeminger,Gary R. Heminger
41,42,Procter & Gamble,David Taylor,0,DavidTaylor,David S. Taylor
42,43,MetLife,Steven Kandarian,0,StevenKandarian,Steven A. Kandarian
43,44,UPS,David Abney,0,DavidAbney,David P. Abney
44,45,PepsiCo,Indra Nooyi,0,IndraNooyi,Indra K. Nooyi
45,46,Intel,Robert Swan,0,RobertSwan,Robert H. Swan
46,47,DowDuPont,Edward Breen,0,EdwardBreen,Edward D. Breen
47,48,Archer Daniels Midland,Juan Luciano,0,JuanLuciano,Juan R. Luciano
48,49,Aetna,Mark Bertolini,0,MarkBertolini,Mark T. Bertolini
49,50,FedEx,Frederick Smith,0,FrederickSmith,Frederick W. Smith
50,51,United Technologies,Gregory Hayes,0,GregoryHayes,Gregory J. Hayes
51,52,Prudential Financial,John Strangfeld,0,JohnStrangfeld,John R. Strangfeld
52,53,Albertsons Cos.,Robert Miller,0,RobertMiller,Robert G. Miller
53,54,Sysco,Tom Bene,0,TomBene,Tom Bene
54,55,Disney,Robert Iger,0,RobertIger,Robert A. Iger
55,56,Humana,Bruce Broussard,0,BruceBroussard,Bruce D. Broussard
56,57,Pfizer,Ian Read,0,IanRead,Ian C. Read
57,58,HP,Dion Weisler,0,DionWeisler,Dion J. Weisler
58,59,Lockheed Martin,Marillyn Hewson,0,MarillynHewson,Marillyn A. Hewson
59,60,AIG,Brian Duperreault,0,BrianDuperreault,Brian Duperreault
60,61,Centene,Michael Neidorff,0,MichaelNeidorff,Michael F. Neidorff
61,62,Cisco Systems,Charles Robbins,0,CharlesRobbins,Charles H. Robbins
62,63,HCA Healthcare,Milton Johnson,0,MiltonJohnson,R. Milton Johnson
63,64,Energy Transfer Equity,John McReynolds,0,JohnMcReynolds,John W. McReynolds
64,65,Caterpillar,James Umpleby I,0,JamesUmplebyI,D. James Umpleby III
65,66,Nationwide,Stephen Rasmussen,0,StephenRasmussen,Stephen S. Rasmussen
66,67,Morgan Stanley,James Gorman,0,JamesGorman,James P. Gorman
67,68,Liberty Mutual Insurance Group,David Long,0,DavidLong,David H. Long
68,69,New York Life Insurance,Theodore Mathas,0,TheodoreMathas,Theodore A. Mathas
69,70,Goldman Sachs Group,Lloyd Blankfein,0,LloydBlankfein,Lloyd C. Blankfein
70,71,American Airlines Group,Douglas Parker,0,DouglasParker,W. Douglas Parker
71,72,Best Buy,Corie Barry,1,CorieBarry,Corie Barry
72,73,Cigna,David Cordani,0,DavidCordani,David M. Cordani
73,74,Charter Communications,Thomas Rutledge,0,ThomasRutledge,Thomas M. Rutledge
74,75,Delta Air Lines,Edward Bastian,0,EdwardBastian,Edward H. Bastian
75,76,Facebook,Mark Zuckerberg,0,MarkZuckerberg,Mark Zuckerberg
76,77,Honeywell International,Darius Adamczyk,0,DariusAdamczyk,Darius Adamczyk
77,78,Merck,Kenneth Frazier,0,KennethFrazier,Kenneth C. Frazier
78,79,Allstate,Thomas Wilson,0,ThomasWilson,Thomas J. Wilson
79,80,Tyson Foods,Thomas Hayes,0,ThomasHayes,Thomas P. Hayes
80,81,United Continental Holdings,Oscar Munoz,0,OscarMunoz,Oscar Munoz
81,82,Oracle,Safra Catz,0,SafraCatz,Safra Catz
82,83,Tech Data,Richard Hume,0,RichardHume,Richard T. Hume
83,84,TIAA,Roger Ferguson ,0,RogerFerguson,Roger W. Ferguson Jr.
84,85,TJX,Ernie Herrman,0,ErnieHerrman,Ernie L. Herrman
85,86,American Express,Stephen Squeri,0,StephenSqueri,Stephen J. Squeri
86,87,Coca-Cola,James Quincey,0,JamesQuincey,James R. Quincey
87,88,Publix Super Markets,Randall Jones Sr.,0,RandallJonesSr.,Randall T. Jones Sr.
88,89,Nike,Mark Parker,0,MarkParker,Mark G. Parker
89,90,Andeavor,Gregory Goff,0,GregoryGoff,Gregory J. Goff
90,91,World Fuel Services,Michael Kasbar,0,MichaelKasbar,Michael J. Kasbar
91,92,Exelon,Christopher Crane,0,ChristopherCrane,Christopher M. Crane
92,93,Massachusetts Mutual Life Insurance,Roger Crandall,0,RogerCrandall,Roger W. Crandall
93,94,Rite Aid,John Standley,0,JohnStandley,John T. Standley
94,95,ConocoPhillips,Ryan Lance,0,RyanLance,Ryan M. Lance
95,96,CHS,Jay Debertin,0,JayDebertin,Jay D. Debertin
96,97,3M,Inge Thulin,0,IngeThulin,Inge G. Thulin
97,98,Time Warner,John Stankey,0,JohnStankey,John Stankey
98,99,General Dynamics,Phebe Novakovic,1,PhebeNovakovic,Phebe Novakovic
99,100,USAA,Stuart Parker,0,StuartParker,Stuart Parker
100,101,Capital One Financial,Richard Fairbank,0,RichardFairbank,Richard D. Fairbank
101,102,Deere,Samuel Allen,0,SamuelAllen,Samuel R. Allen
102,103,INTL FCStone,Sean O'Connor,0,SeanO'Connor,Sean M. O'Connor
103,104,Northwestern Mutual,John Schlifske,0,JohnSchlifske,John E. Schlifske
104,105,Enterprise Products Partners,James Teague,0,JamesTeague,A. James Teague
105,106,Travelers Cos.,Alan Schnitzer,0,AlanSchnitzer,Alan D. Schnitzer
106,107,Hewlett Packard Enterprise,Antonio Neri,0,AntonioNeri,Antonio Neri
107,108,Philip Morris International,Andrï¿½ Calantzopoulos,0,Andrï¿½Calantzopoulos,Andrï¿½ Calantzopoulos
108,109,Twenty-First Century Fox,James Murdoch,0,JamesMurdoch,James R. Murdoch
109,110,AbbVie,Richard Gonzalez,0,RichardGonzalez,Richard A. Gonzalez
110,111,Abbott Laboratories,Miles White,0,MilesWhite,Miles D. White
111,112,Progressive,Tricia Griffith,0,TriciaGriffith,Tricia Griffith
112,113,Arrow Electronics,Michael Long,0,MichaelLong,Michael J. Long
113,114,Kraft Heinz,Bernardo Hees,0,BernardoHees,Bernardo Hees
114,115,Plains GP Holdings,Greg Armstrong,0,GregArmstrong,Greg L. Armstrong
115,116,Gilead Sciences,John Milligan ,0,JohnMilligan,John F. Milligan IV
116,117,Mondelez International,Dirk Van de Put,0,DirkVandePut,Dirk Van de Put
117,118,Northrop Grumman,Kathy Warden,1,KathyWarden,Kathy Warden
118,119,Raytheon,Thomas Kennedy,0,ThomasKennedy,Thomas A. Kennedy
119,120,Macys,Jeffrey Gennette,0,JeffreyGennette,Jeffrey Gennette
120,121,US Foods Holding,Pietro Satriano,0,PietroSatriano,Pietro Satriano
121,122,U.S. Bancorp,Andrew Cecere,0,AndrewCecere,Andrew J. Cecere
122,123,Dollar General,Todd Vasos,0,ToddVasos,Todd J. Vasos
123,124,International Paper,Mark Sutton,0,MarkSutton,Mark S. Sutton
124,125,Duke Energy,Lynn Good,1,LynnGood,Lynn Good
125,126,Southern,Thomas Fanning,0,ThomasFanning,Thomas A. Fanning
126,127,Marriott International,Arne Sorenson,0,ArneSorenson,Arne M. Sorenson
127,128,Avnet,William Amelio,0,WilliamAmelio,William J. Amelio
128,129,Eli Lilly,David Ricks,0,DavidRicks,David A. Ricks
129,130,Amgen,Robert Bradway,0,RobertBradway,Robert A. Bradway
130,131,McDonalds,Stephen Easterbrook,0,StephenEasterbrook,Stephen J. Easterbrook
131,132,Starbucks,Keven Johnson,0,KevenJohnson,Keven R. Johnson
132,133,Qualcomm,Steven Mollenkopf,0,StevenMollenkopf,Steven M. Mollenkopf
133,134,Dollar Tree,Gary Philbin,0,GaryPhilbin,Gary M. Philbin
134,135,PBF Energy,Thomas Nimbley,0,ThomasNimbley,Thomas J. Nimbley
135,136,Icahn Enterprises,Keith Cozza,0,KeithCozza,Keith Cozza
136,137,Aflac,Daniel Amos,0,DanielAmos,Daniel P. Amos
137,138,AutoNation,Michael Jackson,0,MichaelJackson,Michael J. Jackson
138,139,Penske Automotive Group,Roger Penske,0,RogerPenske,Roger S. Penske
139,140,Whirlpool,Marc Bitzer,0,MarcBitzer,Marc R. Bitzer
140,141,Union Pacific,Lance Fritz,0,LanceFritz,Lance M. Fritz
141,142,Southwest Airlines,Gary Kelly,0,GaryKelly,Gary C. Kelly
142,143,ManpowerGroup,Jonas Prising,0,JonasPrising,Jonas Prising
143,144,Thermo Fisher Scientific,Marc Casper,0,MarcCasper,Marc N. Casper
144,145,Bristol-Myers Squibb,Giovanni Caforio,0,GiovanniCaforio,Giovanni Caforio
145,146,Halliburton,Jeffrey Miller,0,JeffreyMiller,Jeffrey A. Miller
146,147,Tenet Healthcare,Ronald Rittenmeyer,0,RonaldRittenmeyer,Ronald A. Rittenmeyer
147,148,Lear,Raymond Scott,0,RaymondScott,Raymond E. Scott
148,149,Cummins,Thomas Linebarger,0,ThomasLinebarger,N. Thomas Linebarger
149,150,Micron Technology,Sanjay Mehrotra,0,SanjayMehrotra,Sanjay Mehrotra
150,151,Nucor,John Ferriola,0,JohnFerriola,John J. Ferriola
151,152,Molina Healthcare,Joseph Zubretsky,0,JosephZubretsky,Joseph M. Zubretsky
152,153,Fluor,David Seaton,0,DavidSeaton,David T. Seaton
153,154,Altria Group,Howard Willard I,0,HowardWillardI,Howard A. Willard III
154,155,Paccar,Ronald Armstrong,0,RonaldArmstrong,Ronald E. Armstrong
155,156,Hartford Financial Services,Christopher Swift,0,ChristopherSwift,Christopher J. Swift
156,157,Kohls,Michelle Gass,1,MichelleGass,Michelle Gass
157,158,Western Digital,Stephen Milligan,0,StephenMilligan,Stephen D. Milligan
158,159,Jabil,Mark Mondello,0,MarkMondello,Mark T. Mondello
159,160,Community Health Systems,Wayne Smith,0,WayneSmith,Wayne T. Smith
160,161,Visa,Alfred Kelly ,0,AlfredKelly,Alfred F. Kelly Jr.
161,162,Danaher,Thomas Joyce ,0,ThomasJoyce,Thomas P. Joyce Jr.
162,163,Kimberly-Clark,Thomas Falk,0,ThomasFalk,Thomas J. Falk
163,164,AECOM,Michael Burke,0,MichaelBurke,Michael S. Burke
164,165,PNC Financial Services,William Demchak,0,WilliamDemchak,William S. Demchak
165,166,CenturyLink,Jeffrey Storey,0,JeffreyStorey,Jeffrey K. Storey
166,167,NextEra Energy,James Robo,0,JamesRobo,James L. Robo
167,168,PG& E Corp.,Geisha Williams,0,GeishaWilliams,Geisha J. Williams
168,169,Synnex,Dennis Polk,0,DennisPolk,Dennis Polk
169,170,WellCare Health Plans,Kenneth Burdick,0,KennethBurdick,Kenneth A. Burdick
170,171,Performance Food Group,George Holm,0,GeorgeHolm,George L. Holm
171,172,Sears Holdings,Edward Lampert,0,EdwardLampert,Edward S. Lampert
172,173,Synchrony Financial,Margaret Keane,1,MargaretKeane,Margaret Keane
173,174,CarMax,William Nash,0,WilliamNash,William D. Nash
174,175,Bank of New York Mellon,Charles Scharf,0,CharlesScharf,Charles W. Scharf
175,176,Freeport-McMoRan,Richard Adkerson,0,RichardAdkerson,Richard C. Adkerson
176,177,Genuine Parts,Paul Donahue,0,PaulDonahue,Paul D. Donahue
177,178,Emerson Electric,David Farr,0,DavidFarr,David N. Farr
178,179,DaVita,Kent Thiry,0,KentThiry,Kent J. Thiry
179,180,Supervalu,Mark Gross,0,MarkGross,Mark Gross
180,181,Gap,Arthur Peck,0,ArthurPeck,Arthur L. Peck
181,182,General Mills,Jeffrey Harmening,0,JeffreyHarmening,Jeffrey L. Harmening
182,183,Nordstrom,Blake Nordstrom,0,BlakeNordstrom,Blake W. Nordstrom
183,184,Colgate-Palmolive,Ian Cook,0,IanCook,Ian M. Cook
184,185,American Electric Power,Nicholas Akins,0,NicholasAkins,Nicholas K. Akins
185,186,XPO Logistics,Bradley Jacobs,0,BradleyJacobs,Bradley S. Jacobs
186,187,Goodyear Tire & Rubber,Richard Kramer,0,RichardKramer,Richard J. Kramer
187,188,Omnicom Group,John Wren,0,JohnWren,John D. Wren
188,189,CDW,Christine Leahy,1,ChristineLeahy,Christine Leahy
189,190,Sherwin-Williams,John Morikis,0,JohnMorikis,John G. Morikis
190,191,PPG Industries,Michael McGarry,0,MichaelMcGarry,Michael H. McGarry
191,192,Texas Instruments,Brian Crutcher,0,BrianCrutcher,Brian T. Crutcher
192,193,C.H. Robinson Worldwide,John Wiehoff,0,JohnWiehoff,John P. Wiehoff
193,194,WestRock,Steven Voorhees,0,StevenVoorhees,Steven C. Voorhees
194,195,Cognizant Technology Solutions,Francisco D'Souza,0,FranciscoD'Souza,Francisco D'Souza
195,196,Newell Brands,Michael Polk,0,MichaelPolk,Michael B. Polk
196,197,CBS,Leslie Moonves,0,LeslieMoonves,Leslie Moonves
197,198,Envision Healthcare,Christopher Holden,0,ChristopherHolden,Christopher A. Holden
198,199,Monsanto,Hugh Grant,0,HughGrant,Hugh Grant
199,200,Aramark,Eric Foss,0,EricFoss,Eric J. Foss
200,201,Applied Materials,Gary Dickerson,0,GaryDickerson,Gary E. Dickerson
201,202,Waste Management,James Fish ,0,JamesFish,James C. Fish Jr.
202,203,DISH Network,Erik Carlson,0,ErikCarlson,W. Erik Carlson
203,204,Illinois Tool Works,Scott Santi,0,ScottSanti,E. Scott Santi
204,205,Lincoln National,Dennis Glass,0,DennisGlass,Dennis R. Glass
205,206,HollyFrontier,George Damiris,0,GeorgeDamiris,George J. Damiris
206,207,CBRE Group,Robert Sulentic,0,RobertSulentic,Robert E. Sulentic
207,208,Textron,Scott Donnelly,0,ScottDonnelly,Scott C. Donnelly
208,209,Ross Stores,Barbara Rentler,1,BarbaraRentler,Barbara Rentler
209,210,Principal Financial,Daniel Houston,0,DanielHouston,Daniel J. Houston
210,211,D.R. Horton,David Auld,0,DavidAuld,David V. Auld
211,212,Marsh & McLennan,Daniel Glaser,0,DanielGlaser,Daniel S. Glaser
212,213,Devon Energy,David Hager,0,DavidHager,David A. Hager
213,214,AES,Andrï¿½s Gluski,0,Andrï¿½sGluski,Andrï¿½s R. Gluski
214,215,Ecolab,Douglas Baker ,0,DouglasBaker,Douglas M. Baker Jr.
215,216,Land O'Lakes,Beth Ford,1,BethFord,Beth Ford
216,217,Loews,James Tisch,0,JamesTisch,James S. Tisch
217,218,Kinder Morgan,Steven Kean,0,StevenKean,Steven J. Kean
218,219,FirstEnergy,Charles Jones,0,CharlesJones,Charles E. Jones
219,220,Occidental Petroleum,Vicki Hollub,1,VickiHollub,Vicki Hollub
220,221,Viacom,Robert Bakish,0,RobertBakish,Robert M. Bakish
221,222,PayPal Holdings,Daniel Schulman,0,DanielSchulman,Daniel H. Schulman
222,223,NGL Energy Partners,Michael Krimbill,0,MichaelKrimbill,H. Michael Krimbill
223,224,Celgene,Mark Alles,0,MarkAlles,Mark J. Alles
224,225,Arconic,Charles Blankenship,0,CharlesBlankenship,Charles P. Blankenship
225,226,Kellogg,Steven Cahillane,0,StevenCahillane,Steven A. Cahillane
226,227,Las Vegas Sands,Sheldon Adelson,0,SheldonAdelson,Sheldon G. Adelson
227,228,Stanley Black & Decker,James Loree,0,JamesLoree,James M. Loree
228,229,Booking Holdings,Glenn Fogel,0,GlennFogel,Glenn D. Fogel
229,230,Lennar,Richard Beckwitt,0,RichardBeckwitt,Richard Beckwitt
230,231,L Brands,Leslie Wexner,0,LeslieWexner,Leslie H. Wexner
231,232,DTE Energy,Gerard Anderson,0,GerardAnderson,Gerard M. Anderson
232,233,Dominion Energy,Thomas Farrell ,0,ThomasFarrell,Thomas F. Farrell II
233,234,Reinsurance Group of America,Anna Manning,1,AnnaManning,Anna Manning
234,235,J.C. Penney,Jill Soltau,1,JillSoltau,Jill Soltau
235,236,Mastercard,Ajay Banga,0,AjayBanga,Ajay Banga
236,237,BlackRock,Laurence Fink,0,LaurenceFink,Laurence D. Fink
237,238,Henry Schein,Stanley Bergman,0,StanleyBergman,Stanley M. Bergman
238,239,Guardian Life Ins. Co. of America,Deanna Mulligan,1,DeannaMulligan,Deanna Mulligan
239,240,Stryker,Kevin Lobo,0,KevinLobo,Kevin A. Lobo
240,241,Jefferies Financial Group,Richard Handler,0,RichardHandler,Richard B. Handler
241,242,VF,Steven Rendle,0,StevenRendle,Steven E. Rendle
242,243,ADP,Carlos Rodriguez,0,CarlosRodriguez,Carlos A. Rodriguez
243,244,Edison International,Pedro Pizarro,0,PedroPizarro,Pedro J. Pizarro
244,245,Biogen,Michel Vounatsos,0,MichelVounatsos,Michel Vounatsos
245,246,United States Steel,David Burritt,0,DavidBurritt,David B. Burritt
246,247,Core-Mark Holding,Thomas Perkins,0,ThomasPerkins,Thomas B. Perkins
247,248,Bed Bath & Beyond,Mary Winston,1,MaryWinston,Mary Winston
248,249,Oneok,Terry Spencer,0,TerrySpencer,Terry K. Spencer
249,250,BB& T Corp.,Kelly King,0,KellyKing,Kelly S. King
250,251,Becton Dickinson,Vincent Forlenza,0,VincentForlenza,Vincent A. Forlenza
251,252,Ameriprise Financial,James Cracchiolo,0,JamesCracchiolo,James M. Cracchiolo
252,253,Farmers Insurance Exchange,Jeffrey Dailey,0,JeffreyDailey,Jeffrey J. Dailey
253,254,First Data,Frank Bisignano,0,FrankBisignano,Frank J. Bisignano
254,255,Consolidated Edison,John McAvoy,0,JohnMcAvoy,John McAvoy
255,256,Parker-Hannifin,Thomas Williams,0,ThomasWilliams,Thomas L. Williams
256,257,Anadarko Petroleum,Walker,0,Walker,R. A. Walker
257,258,Estee Lauder,Fabrizio Freda,0,FabrizioFreda,Fabrizio Freda
258,259,State Street Corp.,Joseph Hooley,0,JosephHooley,Joseph L. Hooley
259,260,Tesla,Elon Musk,0,ElonMusk,Elon Musk
