,Rank,Company,CEO,Female,NameNoSpaces,FullName
752,753,Citrix Systems,David Henshall,0,DavidHenshall,David J. Henshall
753,754,Acadia Healthcare,Joey Jacobs,0,JoeyJacobs,Joey A. Jacobs
754,755,Varian Medical Systems,Dow Wilson,0,DowWilson,Dow R. Wilson
755,756,Groupon,Rich Williams,0,RichWilliams,Rich Williams
756,757,Aleris,Sean Stack,0,SeanStack,Sean M. Stack
757,758,Sprague Resources,David Glendon,0,DavidGlendon,David C. Glendon
758,759,Cooper Tire & Rubber,Bradley Hughes,0,BradleyHughes,Bradley E. Hughes
759,760,Hain Celestial Group,Irwin Simon,0,IrwinSimon,Irwin D. Simon
760,761,Penn Mutual Life Insurance,Eileen McDonnell,0,EileenMcDonnell,Eileen C. McDonnell
761,762,Colony NorthStar,Richard Saltzman,0,RichardSaltzman,Richard B. Saltzman
762,763,ArcBest,Judy McReynolds,0,JudyMcReynolds,Judy R. McReynolds
763,764,Presidio,Robert Cagnazzi,0,RobertCagnazzi,Robert Cagnazzi
764,765,TRI Pointe Group,Douglas Bauer,0,DouglasBauer,Douglas F. Bauer
765,766,Annaly Capital Management,Kevin Keyes,0,KevinKeyes,Kevin G. Keyes
766,767,G-III Apparel Group,Morris Goldfarb,0,MorrisGoldfarb,Morris Goldfarb
767,768,AMC Networks,Joshua Sapan,0,JoshuaSapan,Joshua W. Sapan
768,769,Enable Midstream Partners,Rodney Sailor,0,RodneySailor,Rodney J. Sailor
769,770,Ciena,Gary Smith,0,GarySmith,Gary B. Smith
770,771,DSW,Roger Rawlins,0,RogerRawlins,Roger L. Rawlins
771,772,Convergys,Andrea Ayers,0,AndreaAyers,Andrea J. Ayers
772,773,Park Hotels & Resorts,Thomas Baltimore ,0,ThomasBaltimore,Thomas J. Baltimore Jr.
773,774,Pool,Manuel Perez de la Mesa,0,ManuelPerezdelaMesa,Manuel J. Perez de la Mesa
774,775,Fossil Group,Kosta Kartsotis,0,KostaKartsotis,Kosta N. Kartsotis
775,776,Dominos Pizza,Patrick Doyle,0,PatrickDoyle,J. Patrick Doyle
776,777,Crane,Max Mitchell,0,MaxMitchell,Max H. Mitchell
777,778,Caleres,Diane Sullivan,0,DianeSullivan,Diane M. Sullivan
778,779,Tempur Sealy International,Scott Thompson,0,ScottThompson,Scott L. Thompson
779,780,Tetra Tech,Dan Batrack,0,DanBatrack,Dan L. Batrack
780,781,Illumina,Francis deSouza,0,FrancisdeSouza,Francis A. deSouza
781,782,Valmont Industries,Stephen Kaniewski,0,StephenKaniewski,Stephen G. Kaniewski
782,783,Hill-Rom Holdings,John Groetelaars,0,JohnGroetelaars,John P. Groetelaars
783,784,Unisys,Peter Altabef,0,PeterAltabef,Peter A. Altabef
784,785,Zions Bancorp.,Harris Simmons,0,HarrisSimmons,Harris H. Simmons
785,786,Sinclair Broadcast Group,Christopher Ripley,0,ChristopherRipley,Christopher S. Ripley
786,787,Louisiana-Pacific,Bradley Southern,0,BradleySouthern,W. Bradley Southern
787,788,Mettler-Toledo International,Olivier Filliol,0,OlivierFilliol,Olivier A. Filliol
788,789,Synopsys,Aart de Geus/Chi-Foon Chan,0,AartdeGeus/Chi-FoonChan,Aart J. de Geus/Chi-Foon Chan
789,790,Kemper,Joseph Lacher ,0,JosephLacher,Joseph P. Lacher Jr.
790,791,Cabot,Sean Keohane,0,SeanKeohane,Sean D. Keohane
791,792,Great Plains Energy,Terry Bassham,0,TerryBassham,Terry D. Bassham
792,793,Rent-A-Center,Mitchell Fadel,0,MitchellFadel,Mitchell E. Fadel
793,794,Hawaiian Holdings,Peter Ingram,0,PeterIngram,Peter R. Ingram
794,795,Revlon,Debra Perelman,0,DebraPerelman,Debra G. Perelman
795,796,Syneos Health,Alistair MacDonald,0,AlistairMacDonald,Alistair MacDonald
796,797,Public Storage,Ronald Havner ,0,RonaldHavner,Ronald L. Havner Jr.
797,798,TTM Technologies,Thomas Edman,0,ThomasEdman,Thomas T. Edman
798,799,Vectren,Carl Chapman,0,CarlChapman,Carl L. Chapman
799,800,Trimble,Steven Berglund,0,StevenBerglund,Steven W. Berglund
800,801,NOW,Robert Workman,0,RobertWorkman,Robert R. Workman
801,802,Spirit Airlines,Robert Fornaro,0,RobertFornaro,Robert L. Fornaro
802,803,ASGN,Peter Dameris,0,PeterDameris,Peter T. Dameris
803,804,Lincoln Electric Holdings,Christopher Mapes,0,ChristopherMapes,Christopher L. Mapes
804,805,Prologis,Hamid Moghadam,0,HamidMoghadam,Hamid R. Moghadam
805,806,Range Resources,Jeffrey Ventura,0,JeffreyVentura,Jeffrey L. Ventura
806,807,Teledyne Technologies,Robert Mehrabian,0,RobertMehrabian,Robert Mehrabian
807,808,Vishay Intertechnology,Gerald Paul,0,GeraldPaul,Gerald Paul
808,809,Boston Properties,Owen Thomas,0,OwenThomas,Owen D. Thomas
809,810,Applied Industrial Technologies,Neil Schrimsher,0,NeilSchrimsher,Neil A. Schrimsher
810,811,Graham Holdings,Timothy Oï¿½Shaughnessy,0,TimothyOï¿½Shaughnessy,Timothy J. Oï¿½Shaughnessy
811,812,Amica Mutual Insurance,Robert DiMuccio,0,RobertDiMuccio,Robert A. DiMuccio
812,813,Concho Resources,Timothy Leach,0,TimothyLeach,Timothy A. Leach
813,814,ITT,Denise Ramos,0,DeniseRamos,Denise L. Ramos
814,815,Kansas City Southern,Patrick Ottensmeyer,0,PatrickOttensmeyer,Patrick J. Ottensmeyer
815,816,MDC Holdings,Larry Mizel,0,LarryMizel,Larry A. Mizel
816,817,Evergy,Terry Bassham,0,TerryBassham,Terry D. Bassham
817,818,Pinnacle Entertainment,Anthony Sanfilippo,0,AnthonySanfilippo,Anthony M. Sanfilippo
818,819,Hawaiian Electric Industries,Constance Lau,0,ConstanceLau,Constance H. Lau
819,820,TEGNA,David Lougee,0,DavidLougee,David T. Lougee
820,821,Southwest Gas Holdings,John Hester,0,JohnHester,John P. Hester
821,822,Vista Outdoor,Christopher Metz,0,ChristopherMetz,Christopher T. Metz
822,823,Bon-Ton Stores,William Tracy,0,WilliamTracy,William X. Tracy
823,824,Super Micro Computer,Charles Liang,0,CharlesLiang,Charles Liang
824,825,Plexus,Todd Kelsey,0,ToddKelsey,Todd P. Kelsey
825,826,TrueBlue,Steven Cooper,0,StevenCooper,Steven C. Cooper
826,827,Magellan Midstream Partners,Michael Mears,0,MichaelMears,Michael N. Mears
827,828,Toro,Richard Olson,0,RichardOlson,Richard M. Olson
828,829,Akamai Technologies,Thomson Leighton,0,ThomsonLeighton,F. Thomson Leighton
829,830,Moog,John Scannell,0,JohnScannell,John R. Scannell
830,831,Vertex Pharmaceuticals,Jeffrey Leiden,0,JeffreyLeiden,Jeffrey M. Leiden
831,832,Equity Residential,David Neithercut,0,DavidNeithercut,David J. Neithercut
832,833,Selective Insurance Group,Gregory Murphy,0,GregoryMurphy,Gregory E. Murphy
833,834,AptarGroup,Stephan Tanda,0,StephanTanda,Stephan B. Tanda
834,835,Benchmark Electronics,Paul Tufano,0,PaulTufano,Paul J. Tufano
835,836,Columbia Sportswear,Timothy Boyle,0,TimothyBoyle,Timothy P. Boyle
836,837,A. Schulman,Joseph Gingo,0,JosephGingo,Joseph M. Gingo
837,838,Verso,Christopher DiSantis,0,ChristopherDiSantis,B. Christopher DiSantis
838,839,Digital Realty Trust,William Stein,0,WilliamStein,A. William Stein
839,840,GNC Holdings,Kenneth Martindale,0,KennethMartindale,Kenneth A. Martindale
840,841,E*Trade Financial,Karl Roessner,0,KarlRoessner,Karl A. Roessner
841,842,Hovnanian Enterprises,Ara Hovnanian,0,AraHovnanian,Ara K. Hovnanian
842,843,Maximus,Bruce Caswell,0,BruceCaswell,Bruce L. Caswell
843,844,Twitter,Jack Dorsey,0,JackDorsey,Jack Dorsey
844,845,Par Pacific Holdings,William Pate,0,WilliamPate,William C. Pate
845,846,Parexel International,Jamie Macdonald,0,JamieMacdonald,Jamie Macdonald
846,847,RH,Gary Friedman,0,GaryFriedman,Gary G. Friedman
847,848,Nexstar Media Group,Perry Sook,0,PerrySook,Perry A. Sook
848,849,Knight-Swift Transportation Holdings,David Jackson,0,DavidJackson,David A. Jackson
849,850,Red Hat,James Whitehurst,0,JamesWhitehurst,James M. Whitehurst
850,851,Belden,John Stroup,0,JohnStroup,John S. Stroup
851,852,Boyd Gaming,Keith Smith,0,KeithSmith,Keith E. Smith
852,853,Primoris Services,David King,0,DavidKing,David L. King
853,854,Gardner Denver,Vicente Reynal,0,VicenteReynal,Vicente Reynal
854,855,Donaldson,Tod Carpenter,0,TodCarpenter,Tod E. Carpenter
855,856,Party City Holdco,James Harrison,0,JamesHarrison,James M. Harrison
856,857,J.Crew Group,James Brett,0,JamesBrett,James W. Brett
857,858,EnerSys,David Shaffer,0,DavidShaffer,David M. Shaffer
858,859,Guess,Victor Herrero,0,VictorHerrero,Victor Herrero
859,860,Patterson-UTI Energy,William Hendricks ,0,WilliamHendricks,William A. Hendricks Jr.
860,861,WGL Holdings,Terry McCallister,0,TerryMcCallister,Terry D. McCallister
861,862,Wolverine World Wide,Blake Krueger,0,BlakeKrueger,Blake W. Krueger
862,863,Xilinx,Victor Peng,0,VictorPeng,Victor Peng
863,864,Vornado Realty Trust,Steven Roth,0,StevenRoth,Steven Roth
864,865,Middleby,Selim Bassoul,0,SelimBassoul,Selim A. Bassoul
865,866,MPM Holdings,John Boss,0,JohnBoss,John G. Boss
866,867,Cleveland-Cliffs,Lourenco Goncalves,0,LourencoGoncalves,Lourenco C. Goncalves
867,868,GGP,Sandeep Mathrani,0,SandeepMathrani,Sandeep Mathrani
868,869,Cypress Semiconductor,Hassane El-Khoury,0,HassaneEl-Khoury,Hassane El-Khoury
869,870,Arch Coal,John Eaves,0,JohnEaves,John W. Eaves
870,871,GMS,Michael Callahan ,0,MichaelCallahan,G. Michael Callahan Jr.
871,872,Waters,Christopher O'Connell,0,ChristopherO'Connell,Christopher J. O'Connell
872,873,H.B. Fuller,James Owens,0,JamesOwens,James J. Owens
873,874,Affiliated Managers Group,Nathaniel Dalton,0,NathanielDalton,Nathaniel Dalton
874,875,PerkinElmer,Robert Friel,0,RobertFriel,Robert F. Friel
875,876,Edgewell Personal Care,David Hatfield,0,DavidHatfield,David P. Hatfield
876,877,Maxim Integrated Products,Tunï¿½ Doluca,0,Tunï¿½Doluca,Tunï¿½ Doluca
877,878,Knights of Columbus,Carl Anderson,0,CarlAnderson,Carl A. Anderson
878,879,IDEX,Andrew Silvernail,0,AndrewSilvernail,Andrew K. Silvernail
879,880,DST Systems,William Stone,0,WilliamStone,William C. Stone
880,881,Chicos FAS,Shelley Broader,0,ShelleyBroader,Shelley G. Broader
881,882,Nu Skin Enterprises,Ritch Wood,0,RitchWood,Ritch N. Wood
882,883,Herman Miller,Brian Walker,0,BrianWalker,Brian C. Walker
883,884,NLV Financial,Mehran Assadi,0,MehranAssadi,Mehran Assadi
884,885,Curtiss-Wright,David Adams,0,DavidAdams,David C. Adams
885,886,New Jersey Resources,Laurence Downes,0,LaurenceDownes,Laurence M. Downes
886,887,REV Group,Timothy Sullivan,0,TimothySullivan,Timothy W. Sullivan
887,888,Mueller Industries,Gregory Christopher,0,GregoryChristopher,Gregory L. Christopher
888,889,GEO Group,George Zoley,0,GeorgeZoley,George C. Zoley
889,890,Allison Transmission Holdings,David Graziosi,0,DavidGraziosi,David S. Graziosi
890,891,OGE Energy,Sean Trauschke,0,SeanTrauschke,Sean R. Trauschke
891,892,Cheesecake Factory,David Overton,0,DavidOverton,David M. Overton
892,893,PRA Health Sciences,Colin Shannon,0,ColinShannon,Colin Shannon
893,894,Tupperware Brands,Patricia Stitzel,0,PatriciaStitzel,Patricia A. Stitzel
894,895,Euronet Worldwide,Michael Brown,0,MichaelBrown,Michael J. Brown
895,896,FLEETCOR Technologies,Ronald Clarke,0,RonaldClarke,Ronald F. Clarke
896,897,Nationstar Mortgage Holdings,Jay Bray,0,JayBray,Jay Bray
897,898,GoDaddy,Scott Wagner,0,ScottWagner,Scott W. Wagner
898,899,Blackhawk Network Holdings,Talbott Roche,0,TalbottRoche,Talbott Roche
899,900,Cboe Global Markets,Edward Tilly,0,EdwardTilly,Edward T. Tilly
900,901,Snyders-Lance,Carlos Abrams-Rivera,0,CarlosAbrams-Rivera,Carlos Abrams-Rivera
901,902,Murphy Oil,Roger Jenkins,0,RogerJenkins,Roger W. Jenkins
902,903,CDK Global,Brian MacDonald,0,BrianMacDonald,Brian P. MacDonald
903,904,Texas Roadhouse,Kent Taylor,0,KentTaylor,W. Kent Taylor
904,905,Kirby,David Grzebinski,0,DavidGrzebinski,David W. Grzebinski
905,906,Square,Jack Dorsey,0,JackDorsey,Jack Dorsey
906,907,Genesee & Wyoming,John Hellmann,0,JohnHellmann,John C. Hellmann
907,908,Zayo Group Holdings,Daniel Caruso,0,DanielCaruso,Daniel P. Caruso
908,909,NewMarket,Thomas Gottwald,0,ThomasGottwald,Thomas E. Gottwald
909,910,99 Cents Only Stores,Jack Sinclair,0,JackSinclair,Jack L. Sinclair
910,911,PCM,Frank Khulusi,0,FrankKhulusi,Frank F. Khulusi
911,912,Federated Mutual Insurance,Jeffrey Fetters,0,JeffreyFetters,Jeffrey E. Fetters
912,913,HNI,Stanley Askren,0,StanleyAskren,Stanley A. Askren
913,914,Hospitality Properties Trust,John Murray,0,JohnMurray,John G. Murray
914,915,Greenbrier Cos.,William Furman,0,WilliamFurman,William A. Furman
915,916,Bio-Rad Laboratories,Norman Schwartz,0,NormanSchwartz,Norman A. Schwartz
916,917,AvalonBay Communities,Timothy Naughton,0,TimothyNaughton,Timothy J. Naughton
917,918,Renewable Energy Group,Randolph Howard,0,RandolphHoward,Randolph L. Howard
918,919,Atlas Air Worldwide Holdings,William Flynn,0,WilliamFlynn,William J. Flynn
919,920,Teradata,Victor Lund,0,VictorLund,Victor L. Lund
920,921,LCI Industries,Jason Lippert,0,JasonLippert,Jason D. Lippert
921,922,Teleflex,Liam Kelly,0,LiamKelly,Liam J. Kelly
922,923,Verisk Analytics,Scott Stephenson,0,ScottStephenson,Scott G. Stephenson
923,924,Popular,Ignacio Alvarez,0,IgnacioAlvarez,Ignacio Alvarez
924,925,Workday,Aneel Bhusri,0,AneelBhusri,Aneel Bhusri
925,926,Cooper Cos.,Albert White I,0,AlbertWhiteI,Albert G. White III
926,927,Express,David Kornberg,0,DavidKornberg,David G. Kornberg
927,928,Teradyne,Mark Jagiela,0,MarkJagiela,Mark E. Jagiela
928,929,Werner Enterprises,Derek Leathers,0,DerekLeathers,Derek J. Leathers
929,930,Oaktree Capital Group,Jay Wintrob,0,JayWintrob,Jay S. Wintrob
930,931,Woodward,Thomas Gendron,0,ThomasGendron,Thomas A. Gendron
931,932,F5 Networks,Franï¿½ois Locoh-Donou,0,Franï¿½oisLocoh-Donou,Franï¿½ois Locoh-Donou
932,933,Valvoline,Samuel Mitchell ,0,SamuelMitchell,Samuel J. Mitchell Jr.
933,934,Roadrunner Transportation Systems,Curtis Stoelting,0,CurtisStoelting,Curtis W. Stoelting
934,935,SemGroup,Carlin Conner,0,CarlinConner,Carlin G. Conner
935,936,Catalent,John Chiminski,0,JohnChiminski,John R. Chiminski
936,937,Quorum Health,Robert Fish,0,RobertFish,Robert H. Fish
937,938,Universal,George Freeman I,0,GeorgeFreemanI,George C. Freeman III
938,939,Nordson,Michael Hilton,0,MichaelHilton,Michael F. Hilton
939,940,ResMed,Michael Farrell,0,MichaelFarrell,Michael J. Farrell
940,941,Tower International,James Gouin,0,JamesGouin,James C. Gouin
941,942,Freds,Joseph Anto,0,JosephAnto,Joseph M. Anto
942,943,Foundation Building Materials,Ruben Mendoza,0,RubenMendoza,Ruben D. Mendoza
943,944,Kennametal,Christopher Rossi,0,ChristopherRossi,Christopher Rossi
944,945,Autodesk,Andrew Anagnost,0,AndrewAnagnost,Andrew Anagnost
945,946,Ply Gem Holdings,Gary Robinette,0,GaryRobinette,Gary E. Robinette
946,947,Central Garden & Pet,George Roeth,0,GeorgeRoeth,George C. Roeth
947,948,Matson,Matthew Cox,0,MatthewCox,Matthew J. Cox
948,949,EchoStar,Michael Dugan,0,MichaelDugan,Michael T. Dugan
949,950,Genesis Energy,Grant Sims,0,GrantSims,Grant E. Sims
950,951,SVB Financial Group,Gregory Becker,0,GregoryBecker,Gregory W. Becker
951,952,Itron,Philip Mezey,0,PhilipMezey,Philip C. Mezey
952,953,Portland General Electric,Maria Pope,0,MariaPope,Maria M. Pope
953,954,California Resources,Todd Stevens,0,ToddStevens,Todd A. Stevens
954,955,Esterline Technologies,Curtis Reusser,0,CurtisReusser,Curtis C. Reusser
955,956,Delta Tucker Holdings,George Krivo,0,GeorgeKrivo,George Krivo
956,957,AMN Healthcare Services,Susan Salka,0,SusanSalka,Susan R. Salka
957,958,Griffon,Ronald Kramer,0,RonaldKramer,Ronald J. Kramer
958,959,Valhi,Robert Graham,0,RobertGraham,Robert D. Graham
959,960,Hexcel,Nick Stanage,0,NickStanage,Nick L. Stanage
960,961,IDEXX Laboratories,Jonathan Ayers,0,JonathanAyers,Jonathan W. Ayers
961,962,Deluxe,Lee Schram,0,LeeSchram,Lee J. Schram
962,963,M/I Homes,Robert Schottenstein,0,RobertSchottenstein,Robert H. Schottenstein
963,964,Kraton,Kevin Fogarty,0,KevinFogarty,Kevin M. Fogarty
964,965,Stewart Information Services,Matthew Morris,0,MatthewMorris,Matthew W. Morris
965,966,Marriott Vacations Worldwide,Stephen Weisz,0,StephenWeisz,Stephen P. Weisz
966,967,SPX FLOW,Marcus Michael,0,MarcusMichael,Marcus G. Michael
967,968,ACCO Brands,Boris Elisman,0,BorisElisman,Boris Y. Elisman
968,969,Echo Global Logistics,Douglas Waggoner,0,DouglasWaggoner,Douglas R. Waggoner
969,970,Cadence Design Systems,Lip-u Tan,0,Lip-uTan,Lip-Bu Tan
970,971,Nuance Communications,Mark Benjamin,0,MarkBenjamin,Mark D. Benjamin
971,972,Finish Line,Samuel Sato,0,SamuelSato,Samuel M. Sato
972,973,TransUnion,James Peck,0,JamesPeck,James M. Peck
973,974,ServiceNow,John Donahoe,0,JohnDonahoe,John J. Donahoe
974,975,Summit Materials,Thomas Hill,0,ThomasHill,Thomas W. Hill
975,976,Engility Holdings,Lynn Dugle,0,LynnDugle,Lynn A. Dugle
976,977,Ferrellgas Partners,James Ferrell,0,JamesFerrell,James E. Ferrell
977,978,Interactive Brokers Group,Thomas Peterffy,0,ThomasPeterffy,Thomas P. Peterffy
978,979,Stepan,Quinn Stepan ,0,QuinnStepan,F. Quinn Stepan Jr.
979,980,Oceaneering International,Roderick Larson,0,RoderickLarson,Roderick A. Larson
980,981,Cimarex Energy,Thomas Jorden,0,ThomasJorden,Thomas E. Jorden
981,982,Rexnord,Todd Adams,0,ToddAdams,Todd A. Adams
982,983,Beazer Homes USA,Allan Merrill,0,AllanMerrill,Allan P. Merrill
983,984,MKS Instruments,Gerald Colella,0,GeraldColella,Gerald G. Colella
984,985,Vail Resorts,Robert Katz,0,RobertKatz,Robert A. Katz
985,986,Ohio National Mutual,Gary Huffman,0,GaryHuffman,Gary T. Huffman
986,987,TopBuild,Gerald Volas,0,GeraldVolas,Gerald Volas
987,988,Brown & Brown,Powell Brown,0,PowellBrown,J. Powell Brown
988,989,Aerojet Rocketdyne Holdings,Eileen Drake,0,EileenDrake,Eileen P. Drake
989,990,Barnes & Noble Education,Michael Huseby,0,MichaelHuseby,Michael P. Huseby
990,991,Superior Energy Services,David Dunlap,0,DavidDunlap,David D. Dunlap
991,992,VeriFone Systems,Paul Galant,0,PaulGalant,Paul S. Galant
992,993,Childrens Place,Jane Elfers,0,JaneElfers,Jane T. Elfers
993,994,Tribune Media,Peter Kern,0,PeterKern,Peter M. Kern
994,995,Healthcare Services Group,Theodore Wahl,0,TheodoreWahl,Theodore Wahl
995,996,SiteOne Landscape Supply,Doug Black,0,DougBlack,Doug Black
996,997,Charles River Laboratories Intl,James Foster,0,JamesFoster,James C. Foster
997,998,CoreLogic,Frank Martell,0,FrankMartell,Frank D. Martell
998,999,Ensign Group,Christopher Christensen,0,ChristopherChristensen,Christopher R. Christensen
999,1000,HCP,Thomas Herzog,0,ThomasHerzog,Thomas M. Herzog
